train_MAE,epoch,step,train_loss
0.16750651597976685,0,27,
,1,49,0.03408139944076538
0.12725740671157837,1,55,
0.12418356537818909,2,83,
,3,99,0.031010596081614494
0.1210758313536644,3,111,
0.11954351514577866,4,139,
,5,149,0.029846636578440666
0.11846929788589478,5,167,
0.11717886477708817,6,195,
,7,199,0.026013899594545364
0.11462196707725525,7,223,
,8,249,0.02102935127913952
0.11070824414491653,8,251,
0.1066698431968689,9,279,
,10,299,0.01856234297156334
0.10277285426855087,10,307,
0.09744131565093994,11,335,
,12,349,0.01557634212076664
0.09189288318157196,12,363,
0.08758918195962906,13,391,
,14,399,0.014155421406030655
0.08451064676046371,14,419,
0.08246941864490509,15,447,
,16,449,0.013419408351182938
0.08098741620779037,16,475,
,17,499,0.012855498120188713
0.07979286462068558,17,503,
0.07883813232183456,18,531,
,19,549,0.012834030203521252
0.07801413536071777,19,559,
