valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.03621850907802582,0.1547127664089203,0,41,,
,,0,41,0.17775270342826843,
,,1,49,,0.034665949642658234
0.025940489023923874,0.12547685205936432,1,83,,
,,1,83,0.14115388691425323,
,,2,99,,0.026737356558442116
0.01948551833629608,0.10975877940654755,2,125,,
,,2,125,0.12537701427936554,
,,3,149,,0.02163495123386383
0.019168125465512276,0.1078750416636467,3,167,,
,,3,167,0.11426199972629547,
,,4,199,,0.02040073089301586
0.01784050650894642,0.10052069276571274,4,209,,
,,4,209,0.11118601262569427,
,,5,249,,0.020749080926179886
0.01804545149207115,0.100639708340168,5,251,,
,,5,251,0.10948687791824341,
0.01781502738595009,0.10038264095783234,6,293,,
,,6,293,0.108539879322052,
,,7,299,,0.020696457475423813
0.018193256109952927,0.1005457416176796,7,335,,
,,7,335,0.1077442392706871,
,,8,349,,0.021752452477812767
0.017549265176057816,0.09907283633947372,8,377,,
,,8,377,0.10714901983737946,
,,9,399,,0.019387736916542053
0.018020734190940857,0.10286692529916763,9,419,,
,,9,419,0.10680005699396133,
,,10,449,,0.019116435199975967
0.01822304166853428,0.10164636373519897,10,461,,
,,10,461,0.10606175661087036,
,,11,499,,0.01924729160964489
0.018699608743190765,0.10529632121324539,11,503,,
,,11,503,0.10557983070611954,
