valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.04702445864677429,0.1889248788356781,0,41,,
,,0,41,0.20865729451179504,
,,1,49,,0.05129010230302811
0.043138064444065094,0.17683206498622894,1,83,,
,,1,83,0.17180322110652924,
,,2,99,,0.04818900302052498
0.04105513170361519,0.16957901418209076,2,125,,
,,2,125,0.1658366173505783,
,,3,149,,0.04355182871222496
0.03607301786541939,0.14908920228481293,3,167,,
,,3,167,0.1588408648967743,
,,4,199,,0.04010769724845886
0.03094659000635147,0.13384343683719635,4,209,,
,,4,209,0.1527610719203949,
,,5,249,,0.032881058752536774
0.025644509121775627,0.12135279923677444,5,251,,
,,5,251,0.14313185214996338,
0.022408505901694298,0.11361668258905411,6,293,,
,,6,293,0.13757102191448212,
,,7,299,,0.030493253841996193
0.019663741812109947,0.1059059426188469,7,335,,
,,7,335,0.13303031027317047,
,,8,349,,0.02699943445622921
0.017310889437794685,0.100901298224926,8,377,,
,,8,377,0.12864093482494354,
,,9,399,,0.024440743029117584
0.014953096397221088,0.09593971073627472,9,419,,
,,9,419,0.12230376899242401,
,,10,449,,0.022844474762678146
0.014232754707336426,0.09215887635946274,10,461,,
,,10,461,0.11464852839708328,
,,11,499,,0.020637856796383858
0.014456599950790405,0.0918421745300293,11,503,,
,,11,503,0.11048498749732971,
0.01457300316542387,0.09273361414670944,12,545,,
,,12,545,0.10847613215446472,
,,13,549,,0.020839760079979897
0.014572127722203732,0.09277687221765518,13,587,,
,,13,587,0.10719631612300873,
,,14,599,,0.019235698506236076
0.01447882317006588,0.09264364093542099,14,629,,
,,14,629,0.10610030591487885,
