train_loss,epoch,step,train_MAE
0.03250133991241455,0,49,
,0,54,0.14739157259464264
0.031088927760720253,1,99,
,1,109,0.12220810353755951
0.03016076609492302,2,149,
,2,164,0.11880109459161758
0.023331739008426666,3,199,
,3,219,0.11420697718858719
0.02024071477353573,4,249,
,4,274,0.10730162262916565
0.018419461324810982,5,299,
,5,329,0.09992091357707977
0.015575543977320194,6,349,
,6,384,0.0891534835100174
0.013477816246449947,7,399,
,7,439,0.08304993808269501
0.013645594008266926,8,449,
,8,494,0.08040259033441544
0.012883108109235764,9,499,
0.01252689864486456,9,549,
,9,549,0.07881233841180801
0.012041225098073483,10,599,
,10,604,0.07759877294301987
0.011833776719868183,11,649,
,11,659,0.07655531913042068
0.012770870700478554,12,699,
,12,714,0.07577969878911972
0.011414756067097187,13,749,
,13,769,0.07485107332468033
0.011293168179690838,14,799,
,14,824,0.07414194941520691
0.011673842556774616,15,849,
,15,879,0.0732996016740799
0.0115248654037714,16,899,
,16,934,0.07252171635627747
0.011473908089101315,17,949,
,17,989,0.0716099888086319
0.010942630469799042,18,999,
,18,1044,0.07079493254423141
0.011545252986252308,19,1049,
0.010184446349740028,19,1099,
,19,1099,0.06995926797389984
