valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.030348697677254677,0.1326945275068283,0,41,,
,,0,41,0.17626674473285675,
,,1,49,,0.03442970663309097
0.027135178446769714,0.12575767934322357,1,83,,
,,1,83,0.1408141553401947,
,,2,99,,0.0279525239020586
0.02425265684723854,0.11726687103509903,2,125,,
,,2,125,0.12484806030988693,
,,3,149,,0.02202288992702961
0.023262549191713333,0.11361077427864075,3,167,,
,,3,167,0.11403199285268784,
,,4,199,,0.02183350920677185
0.0228152833878994,0.11161723732948303,4,209,,
,,4,209,0.11101321130990982,
,,5,249,,0.020894944667816162
0.022542672231793404,0.11078107357025146,5,251,,
,,5,251,0.10985627770423889,
0.02309422753751278,0.11305800080299377,6,293,,
,,6,293,0.10890872776508331,
,,7,299,,0.020782507956027985
0.022642023861408234,0.11181199550628662,7,335,,
,,7,335,0.10811586678028107,
,,8,349,,0.01975572668015957
0.022374825552105904,0.11014222353696823,8,377,,
,,8,377,0.10739073157310486,
,,9,399,,0.019957588985562325
0.02245338074862957,0.11006388068199158,9,419,,
,,9,419,0.1067647784948349,
,,10,449,,0.01982458308339119
0.022666996344923973,0.11167432367801666,10,461,,
,,10,461,0.10628323256969452,
,,11,499,,0.019687818363308907
0.022113174200057983,0.10893302410840988,11,503,,
,,11,503,0.10584335774183273,
0.022586125880479813,0.11097230762243271,12,545,,
,,12,545,0.10520860552787781,
,,13,549,,0.019535383209586143
0.022441977635025978,0.11057868599891663,13,587,,
,,13,587,0.10516755282878876,
,,14,599,,0.02035055309534073
0.021928444504737854,0.10821445286273956,14,629,,
,,14,629,0.10473408550024033,
,,15,649,,0.020185943692922592
0.02255723439157009,0.11025471240282059,15,671,,
,,15,671,0.10446706414222717,
,,16,699,,0.019179269671440125
0.02234804444015026,0.1097506582736969,16,713,,
,,16,713,0.10408008843660355,
,,17,749,,0.018910251557826996
0.022173577919602394,0.10929202288389206,17,755,,
,,17,755,0.10376506298780441,
